0,1
processed_test_images\test1.png,A
processed_test_images\test2.png,MOVE
processed_test_images\test3.png,a
processed_test_images\test4.png,do
processed_test_images\test5.png,At
processed_test_images\test6.png,the
processed_test_images\test7.png,from
processed_test_images\test8.png,living
processed_test_images\test9.png,facing
processed_test_images\test10.png,view
processed_test_images\test11.png,Belgrade
processed_test_images\test12.png,Close
processed_test_images\test13.png,and
processed_test_images\test14.png,She
processed_test_images\test15.png,far
processed_test_images\test16.png,pay
processed_test_images\test17.png,price
processed_test_images\test18.png,job
processed_test_images\test19.png,sea
processed_test_images\test20.png,as
processed_test_images\test21.png,cleverly
processed_test_images\test22.png,show
processed_test_images\test23.png,Malo



